id,name,Gross,company
422,Won't You Be My Neighbor?,22835787,Focus
423,Overlord,21704844,Par.
424,Proud Mary,20877013,SGem
425,The Happytime Murders,20706452,STX
426,Superfly,20545116,Sony
427,They Shall Not Grow Old,17956913,WB
428,Show Dogs,17857020,Global Road
429,Bad Times At The El Royale,17839115,Fox
430,Operation Finale,17612099,MGM
431,"Paul, Apostle of Christ",17560475,Affirm
432,Free Solo,17541090,NGE
433,Sorry to Bother You,17493096,Annapurna
434,Chappaquiddick,17395520,ENTMP
435,Mary Queen of Scots,16468499,Focus
436,Forever My Girl,16376066,RAtt.
437,Mortal Engines,15951040,Uni.
438,Hunter Killer,15767460,LG/S
439,If Beale Street Could Talk,14915773,Annapurna
440,The Girl in the Spider's Web: A New Dragon Tattoo Story,14841338,Sony
441,The Possession of Hannah Grace,14837422,SGem
442,RBG,14017361,Magn.
443,Eighth Grade,13539709,A24
444,The Darkest Minds,12695691,Fox
445,Three Identical Strangers,12320845,Neon
446,Upgrade,11977130,BH Tilt
447,Padmaavat,11846060,VPD
448,The Old Man & the Gun,11277120,FoxS
449,Hell Fest,11107431,LGF
450,Welcome to Marwen,10763520,Uni.
451,The Miracle Season,10230620,Mirr/LD
452,The Wife,9601092,SPC
453,Midnight Sun,9561064,Global Road
454,Tully (2018),9369755,Focus
455,Traffik,9186156,LGF
456,Unfriended: Dark Web,8866745,BH Tilt
457,Can You Ever Forgive Me?,8803865,FoxS
458,Early Man,8267544,LGF
459,The Death of Stalin,8047856,IFC
460,Sanju,7909317,FIP
461,Unsane,7732899,BST
462,Beautiful Boy (2018),7649973,Amazon
463,Mid90s,7362439,A24
464,Dog Days (2018),6809080,LD
465,Boy Erased,6788692,Focus
466,Hotel Artemis,6708147,Global Road
467,A.X.L.,6501381,Global Road
468,Fahrenheit 11/9,6352306,Briarcliff
469,Unbroken: Path to Redemption,6216897,PFR
470,The Hurricane Heist,6115825,ENTMP
471,Every Day (2018),6102076,Orion
472,Once Upon a Deadpool,6100309,Fox
473,Leave No Trace,6046104,BST
474,Death of a Nation,5885881,QF
475,Pandas,5757906,WB
476,My Hero Academia: Two Heroes,5754556,FUN
477,God's Not Dead: A Light in Darkness,5728940,PFR
478,Kin,5718096,LGF
479,Stan & Ollie,5470235,SPC
480,Colette,5137622,BST
481,Simmba,5102129,Relbig.
482,Action Point,5059608,Par.
483,Beirut,5019226,BST
484,Gringo,4969853,STX
485,Samson,4719928,PFR
486,Cold War (2018),4580048,Amazon
487,Johnny English Strikes Again,4412170,Uni.
488,Gotti,4343227,VE
489,Blindspotting,4333394,LG/S
490,Amazing Grace (2019),4212127,Neon
491,Burn the Stage: The Movie,4201819,Trafalgar
492,Ya Veremos,4165949,PNT
493,2,4152000,N/A
494,Life Itself (2018),4102648,Amazon
495,Sgt. Stubby: An American Hero,4015935,FunAcad
